Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
103,41.11098817,-122.4682298,1694.0,41.317234,-122.547658,41.162847,-122.747889,40.956907,-122.668052,40.905035,-122.389263,41.058825,-122.188982,41.265081,-122.267535,0,19
104,40.492622,-122.232699,127.0,40.698914,-122.310754,40.544976,-122.509761,40.338981,-122.4313,40.286616,-122.155094,40.439972,-121.956045,40.646273,-122.03324,0,19
105,39.874072,-122.0012195,56.0,40.080434,-122.077936,39.926918,-122.275728,39.720845,-122.19861,39.667991,-121.924942,39.820937,-121.727115,40.027307,-121.802986,0,19
106,39.25527067,-121.7736893,107.0,39.461725,-121.8491,39.308605,-122.045689,39.102434,-121.969879,39.049092,-121.698706,39.201654,-121.502091,39.408114,-121.576671,0,19
107,38.63615183,-121.550011,4.0,38.84272,-121.624148,38.689973,-121.819543,38.483681,-121.74501,38.429854,-121.476291,38.582056,-121.280877,38.788627,-121.354197,0,19
108,38.0166515,-121.33009,5.0,38.223355,-121.402985,38.070958,-121.597196,37.864523,-121.523908,37.810213,-121.257602,37.962077,-121.063378,38.168783,-121.135471,0,19
109,37.39670617,-121.1138348,52.0,37.603566,-121.185518,37.451495,-121.378555,37.244898,-121.306482,37.190106,-121.042549,37.341656,-120.849506,37.548516,-120.920399,0,19
110,36.77625433,-120.9011568,399.0,36.98329,-120.971657,36.831524,-121.16353,36.624744,-121.092644,36.569473,-120.831044,36.72073,-120.639171,36.927765,-120.708895,0,19
111,36.15523517,-120.6919698,891.0,36.362468,-120.761316,36.210984,-120.952035,36.004001,-120.882306,35.948252,-120.623002,36.099238,-120.432289,36.306468,-120.500871,0,19
112,35.53358933,-120.4861907,372.0,35.741038,-120.55441,35.589817,-120.743986,35.382611,-120.675387,35.326385,-120.418341,35.47712,-120.228776,35.684565,-120.296244,0,19
113,34.9112575,-120.283739,269.0,35.118942,-120.350858,34.967962,-120.5393,34.760514,-120.471805,34.703813,-120.216981,34.854317,-120.028555,35.061997,-120.094935,0,19
114,34.28818233,-120.0845358,0.0,34.496122,-120.150581,34.345363,-120.337899,34.137654,-120.271482,34.080478,-120.018844,34.230771,-119.831546,34.438706,-119.896863,0,19
115,45.80502833,-124.1196242,0.0,46.011924,-124.209852,45.853629,-124.42035,45.647106,-124.329684,45.598476,-124.029955,45.756056,-123.819339,45.962979,-123.908565,1,19
116,45.18509083,-123.8522723,361.0,45.391832,-123.940839,45.23421,-124.150027,45.027832,-124.061025,44.978686,-123.764249,45.13561,-123.554955,45.342375,-123.642539,1,19
117,44.56556383,-123.5898135,233.0,44.772179,-123.676764,44.615197,-123.88465,44.408935,-123.797268,44.359278,-123.503392,44.515579,-123.295411,44.722215,-123.381396,1,19
118,43.94636083,-123.3321192,248.0,44.152878,-123.417496,43.996504,-123.62409,43.790329,-123.538285,43.740166,-123.247258,43.895876,-123.040579,44.102412,-123.125007,1,19
119,43.3273995,-123.0790643,377.0,43.533847,-123.162908,43.378048,-123.36822,43.171934,-123.283951,43.121268,-122.995723,43.276418,-122.790336,43.482882,-122.873248,1,19
120,42.7085995,-122.8305282,641.0,42.915003,-122.912879,42.759749,-123.116918,42.553671,-123.034145,42.502505,-122.748667,42.657126,-122.544562,42.863543,-122.625998,1,19
121,42.08988317,-122.5863942,970.0,42.296268,-122.66729,42.14153,-122.870067,41.935462,-122.788752,41.883801,-122.505975,42.037921,-122.303142,42.244317,-122.383139,1,19
122,41.4711755,-122.3465493,1056.0,41.677567,-122.426028,41.523316,-122.627552,41.317234,-122.547658,41.265081,-122.267535,41.418727,-122.065964,41.625128,-122.144559,1,19
123,40.85240333,-122.1108845,787.0,41.058825,-122.188982,40.905035,-122.389263,40.698914,-122.310754,40.646273,-122.03324,40.799472,-121.83292,41.005901,-121.910148,1,19
124,40.23349667,-121.8792948,407.0,40.439972,-121.956045,40.286616,-122.155094,40.080434,-122.077936,40.027307,-121.802986,40.180085,-121.603906,40.386566,-121.679802,1,19
125,39.61438583,-121.6516777,69.0,39.820937,-121.727115,39.667991,-121.924942,39.461725,-121.8491,39.408114,-121.576671,39.560496,-121.37882,39.767052,-121.453418,1,19
